"stim.name","url"
"food.1","https://unikoelnpsych.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_5p417NhJQohwViB"
"food.2","https://unikoelnpsych.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_aVtHKvkz6BoQfTU"
"food.3","https://unikoelnpsych.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_8bM7lh6YHFjVpmR"
"food.4","https://unikoelnpsych.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_6GAF0GPLXcwmFym"
"food.5","https://unikoelnpsych.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_2fXI0amQTFbKnMp"
"food.6","https://unikoelnpsych.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_do3XFf4avZyvORf"
"food.7","https://unikoelnpsych.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_6yFuWR9MKaHIpFA"
"food.8","https://unikoelnpsych.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_0cS7o0v6vVC6VKK"
"food.9","https://unikoelnpsych.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_4GveD5WJYru2U98"
"food.10","https://unikoelnpsych.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_9ESN5qqIEkOvep7"
"food.11","https://unikoelnpsych.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_bDeZ7oZdO7SRwvr"
"food.12","https://unikoelnpsych.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_eDHTjk3wnvctqom"
"food.13","https://unikoelnpsych.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_3QrIUukytGdOieq"
"food.14","https://unikoelnpsych.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_0ND4jF7K4JlB3Tf"
"food.15","https://unikoelnpsych.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_eEgVkTkikE9XPmK"
"food.16","https://unikoelnpsych.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_3z66Pb0zJFidslE"
"food.17","https://unikoelnpsych.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_2ipkw9Izn8ppZoF"
"food.18","https://unikoelnpsych.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_07kAVKIFssmq5dY"
